Iteration	Likelihood	Prior	p	r
17100	-1.691059	-1.228265	0.353085	0.353085
17200	-1.726654	-0.915028	0.3217613	0.3217613
17300	-2.965125	0.3322479	0.1970337	0.1970337
17400	-1.697712	-1.071313	0.3373898	0.3373898
17500	-1.712024	-1.419997	0.3722582	0.3722582
17600	-1.844446	-0.6233638	0.2925949	0.2925949
17700	-2.910797	0.3037348	0.199885	0.199885
17800	-1.757333	-0.8151749	0.311776	0.311776
17900	-1.758811	-1.597386	0.3899971	0.3899971
18000	-3.764633	0.6768739	0.1625711	0.1625711
18100	-2.31305	-0.08601134	0.2388596	0.2388596
18200	-1.866183	-0.5855708	0.2888156	0.2888156
18300	-1.809387	-0.6909615	0.2993547	0.2993547
18400	-2.101802	-0.2802869	0.2582872	0.2582872
18500	-2.142431	-0.239006	0.2541591	0.2541591
18600	-3.547328	0.5945712	0.1708014	0.1708014
18700	-1.766247	-0.7909758	0.3093561	0.3093561
18800	-3.974983	0.7504067	0.1552178	0.1552178
18900	-2.754778	0.2167831	0.2085802	0.2085802
19000	-2.777828	0.2301408	0.2072444	0.2072444
19100	-2.101499	-0.2806033	0.2583188	0.2583188
19200	-2.97122	0.3353947	0.196719	0.196719
19300	-2.776415	0.2293277	0.2073257	0.2073257
19400	-1.855146	-0.6044231	0.2907008	0.2907008
19500	-2.810897	0.2489814	0.2053604	0.2053604
19600	-1.691665	-1.245779	0.3548365	0.3548365
19700	-1.921945	-0.4989666	0.2801552	0.2801552
19800	-1.99865	-0.3969619	0.2699547	0.2699547
19900	-1.781245	-0.753423	0.3056008	0.3056008
20000	-1.853468	-0.6073478	0.2909933	0.2909933
20100	-3.189689	0.4419323	0.1860653	0.1860653
20200	-2.586493	0.1130144	0.2189571	0.2189571
20300	-1.759326	-1.598915	0.39015	0.39015
20400	-1.762027	-0.8022335	0.3104819	0.3104819
20500	-1.696229	-1.3107	0.3613285	0.3613285
20600	-4.459428	0.90093	0.1401655	0.1401655
20700	-3.711153	0.6572543	0.1645331	0.1645331
20800	-1.770841	-0.7790866	0.3081672	0.3081672
20900	-1.713292	-0.9727999	0.3275385	0.3275385
21000	-1.772915	-1.637406	0.3939991	0.3939991
21100	-3.046464	0.3734223	0.1929163	0.1929163
21200	-2.916589	0.3068151	0.199577	0.199577
21300	-3.13473	0.4162101	0.1886375	0.1886375
21400	-1.847297	-1.807763	0.4110348	0.4110348
21500	-2.496995	0.05265688	0.2249928	0.2249928
21600	-3.094276	0.396833	0.1905752	0.1905752
21700	-2.444644	0.015377	0.2287208	0.2287208
21800	-1.749674	-0.8373559	0.3139941	0.3139941
21900	-1.713123	-0.9736275	0.3276213	0.3276213
22000	-1.718097	-0.9504009	0.3252986	0.3252986
22100	-1.813204	-0.6831262	0.2985711	0.2985711
22200	-3.896862	0.723746	0.1578839	0.1578839
22300	-2.168726	-0.21343	0.2516015	0.2516015
22400	-2.838715	0.2645463	0.2038039	0.2038039
22500	-1.909945	-0.5165457	0.2819131	0.2819131
22600	-4.839541	1.004095	0.129849	0.129849
22700	-4.577517	0.9342376	0.1368347	0.1368347
22800	-2.322408	-0.07839226	0.2380977	0.2380977
22900	-1.691804	-1.146113	0.3448698	0.3448698
23000	-1.898761	-0.5334103	0.2835995	0.2835995
23100	-1.952128	-0.4568645	0.275945	0.275945
23200	-1.898146	-0.5343513	0.2836936	0.2836936
23300	-2.976338	0.3380291	0.1964556	0.1964556
23400	-1.821885	-0.6657726	0.2968358	0.2968358
23500	-2.307149	-0.0908518	0.2393437	0.2393437
23600	-2.638968	-2.725744	0.5028329	0.5028329
23700	-2.881127	0.2877977	0.2014787	0.2014787
23800	-2.991309	0.345695	0.195689	0.195689
23900	-2.343296	-0.06162771	0.2364213	0.2364213
24000	-1.721055	-0.937603	0.3240188	0.3240188
24100	-2.54942	0.08849776	0.2214087	0.2214087
24200	-1.692916	-1.269566	0.3572151	0.3572151
24300	-1.758778	-0.8111402	0.3113725	0.3113725
24400	-2.801317	0.2435622	0.2059023	0.2059023
24500	-2.417695	-0.00444391	0.2307029	0.2307029
24600	-1.711644	-0.9810364	0.3283622	0.3283622
24700	-3.171466	0.4334782	0.1869107	0.1869107
24800	-2.263283	-0.1277411	0.2430326	0.2430326
